Helység megnevezése;Megye megnevezés
Dág;Komárom-Esztergom
Dáka;Veszprém
Dalmand;Tolna
Damak;Borsod-Abaúj-Zemplén
Dámóc;Borsod-Abaúj-Zemplén
Dánszentmiklós;Pest
Dány;Pest
Daraboshegy;Vas
Darány;Somogy
Darnó;Szabolcs-Szatmár-Bereg
Darnózseli;Gyõr-Moson-Sopron
Daruszentmiklós;Fejér
Darvas;Hajdú-Bihar
Dávod;Bács-Kiskun
Debercsény;Nógrád
Debrecen;Hajdú-Bihar
Debréte;Borsod-Abaúj-Zemplén
Decs;Tolna
Dédestapolcsány;Borsod-Abaúj-Zemplén
Dég;Fejér
Dejtár;Nógrád
Délegyháza;Pest
Demecser;Szabolcs-Szatmár-Bereg
Demjén;Heves
Dencsháza;Baranya
Dénesfa;Gyõr-Moson-Sopron
Derecske;Hajdú-Bihar
Derekegyház;Csongrád-Csanád
Deszk;Csongrád-Csanád
Detek;Borsod-Abaúj-Zemplén
Detk;Heves
Dévaványa;Békés
Devecser;Veszprém
Dinnyeberki;Baranya
Diósberény;Tolna
Diósd;Pest
Diósjenõ;Nógrád
Dióskál;Zala
Diósviszló;Baranya
Doba;Veszprém
Doboz;Békés
Dobri;Zala
Dobronhegy;Zala
Dóc;Csongrád-Csanád
Domaháza;Borsod-Abaúj-Zemplén
Domaszék;Csongrád-Csanád
Dombegyház;Békés
Dombiratos;Békés
Dombóvár;Tolna
Dombrád;Szabolcs-Szatmár-Bereg
Domony;Pest
Domoszló;Heves
Dormánd;Heves
Dorog;Komárom-Esztergom
Dorogháza;Nógrád
Dozmat;Vas
Döbörhegy;Vas
Döbröce;Zala
Döbrököz;Tolna
Döbrönte;Veszprém
Döge;Szabolcs-Szatmár-Bereg
Dömös;Komárom-Esztergom
Dömsöd;Pest
Dör;Gyõr-Moson-Sopron
Dörgicse;Veszprém
Döröske;Vas
Dötk;Zala
Dövény;Borsod-Abaúj-Zemplén
Drágszél;Bács-Kiskun
Drávacsehi;Baranya
Drávacsepely;Baranya
Drávafok;Baranya
Drávagárdony;Somogy
